"subj_id","seed","date","computer","block","block_type","trial","proposition_id","feat_type","question_slug","cue","mask_type","response_type","pic","correct_response","response","rt","is_correct"
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",0,"pig:nonvisual:yes:4","nonvisual","is-it-smelly","pig","nomask","prompt",NA,"yes","no",500.166445272,0
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",1,"dog:visual:yes:6","visual","does-it-have-a-top","dog","nomask","prompt",NA,"yes","timeout",1500,0
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",2,"apple:nonvisual:yes:4","nonvisual","is-it-nutritious","apple","nomask","prompt",NA,"yes","yes",298.468703491,1
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",3,"bike:visual:yes:1","visual","does-it-have-handle-bars","bike","nomask","prompt",NA,"yes","yes",147.743226145,1
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",4,"jacket:visual:yes:1","visual","does-it-have-a-zipper","jacket","mask","pic","jacket","yes","yes",948.265288156,1
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",5,"table:visual:yes:3","visual","does-it-have-legs","table","nomask","prompt",NA,"yes","yes",86.9183617906,1
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",6,"jacket:visual:yes:4","visual","does-it-have-sleeves","jacket","mask","prompt",NA,"yes","yes",1172.72858217,1
"MDT105",105,"2015_Nov_12_0949","LL-George",0,"practice",7,"penguin:nonvisual:yes:2","nonvisual","is-it-unable-to-fly","penguin","nomask","prompt",NA,"yes","yes",190.452763156,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",9,"strawberry:nonvisual:yes:3","nonvisual","is-it-used-for-making-jam","strawberry","nomask","prompt",NA,"yes","yes",24.6815933933,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",10,"carrot:nonvisual:yes:2","nonvisual","is-it-eaten-by-rabbits","carrot","nomask","prompt",NA,"yes","yes",241.480082579,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",11,"swan:nonvisual:no:3","nonvisual","is-it-found-in-dining-rooms","swan","mask","prompt",NA,"no","no",235.795656423,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",12,"bike:visual:no:3","visual","does-it-have-feet","bike","mask","pic","carrot","no","no",79.6530256193,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",13,"table:visual:no:1","visual","does-it-have-a-neck","table","mask","prompt",NA,"no","no",98.199190179,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",14,"lion:visual:yes:1","visual","does-it-have-a-mane","lion","nomask","pic","lion","yes","yes",180.895603611,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",15,"chair:nonvisual:yes:5","nonvisual","is-it-found-at-tables","chair","nomask","prompt",NA,"yes","yes",436.357729297,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",16,"rabbit:nonvisual:yes:6","nonvisual","does-it-make-noises","rabbit","mask","prompt",NA,"yes","no",56.2725861382,0
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",17,"alligator:visual:yes:3","visual","does-it-have-scales","alligator","nomask","prompt",NA,"yes","yes",363.830801973,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",18,"deer:nonvisual:yes:4","nonvisual","is-it-an-herbivore","deer","mask","pic","deer","yes","no",488.030664332,0
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",19,"chicken:nonvisual:yes:4","nonvisual","is-it-eaten-by-frying","chicken","nomask","pic","chicken","yes","yes",69.9934382137,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",20,"train:visual:no:4","visual","does-it-have-long-legs","train","mask","pic","table","no","no",268.594657755,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",21,"camel:visual:yes:5","visual","is-it-beige","camel","mask","prompt",NA,"yes","yes",282.207640485,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",22,"pineapple:nonvisual:yes:4","nonvisual","does-it-grow-in-hawaii","pineapple","nomask","prompt",NA,"yes","yes",178.217115055,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",23,"chair:nonvisual:yes:3","nonvisual","is-it-comfortable","chair","mask","prompt",NA,"yes","no",312.54741289,0
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",24,"pig:nonvisual:yes:5","nonvisual","does-it-like-mud","pig","nomask","pic","pig","yes","yes",10.7030712388,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",25,"mouse:nonvisual:yes:5","nonvisual","does-it-eat-cheese","mouse","mask","prompt",NA,"yes","yes",218.274730723,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",26,"train:nonvisual:no:4","nonvisual","does-it-produce-offspring","train","mask","pic","penguin","no","no",188.15485813,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",27,"bike:visual:no:1","visual","does-it-have-legs","bike","nomask","pic","zebra","no","no",52.6972136431,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",28,"dog:nonvisual:yes:1","nonvisual","does-it-bark","dog","nomask","prompt",NA,"yes","yes",649.92782037,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",29,"rabbit:visual:no:2","visual","is-it-made-of-metal","rabbit","mask","prompt",NA,"no","no",47.1798729268,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",30,"elephant:visual:yes:2","visual","does-it-have-ears","elephant","mask","pic","elephant","yes","yes",420.033929229,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",31,"carrot:nonvisual:yes:4","nonvisual","is-it-a-root","carrot","nomask","pic","carrot","yes","yes",412.569498905,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",32,"deer:visual:yes:1","visual","does-it-have-antlers","deer","nomask","prompt",NA,"yes","yes",127.855576706,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",33,"rabbit:visual:yes:1","visual","does-it-have-ears","rabbit","nomask","pic","rabbit","yes","yes",169.363186782,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",34,"tiger:visual:yes:2","visual","does-it-have-teeth","tiger","mask","prompt",NA,"yes","yes",48.5975385236,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",35,"raccoon:nonvisual:yes:4","nonvisual","does-it-produce-offspring","raccoon","nomask","prompt",NA,"yes","yes",41.865467414,1
"MDT105",105,"2015_Nov_12_0949","LL-George",1,"test",36,"lion:nonvisual:yes:2","nonvisual","is-it-a-carnivore","lion","nomask","prompt",NA,"yes","yes",140.382504032,1
