"subj_id","seed","date","computer","block","block_type","trial","proposition_id","feat_type","question_slug","cue","mask_type","response_type","pic","correct_response","response","rt","is_correct"
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",0,"penguin:nonvisual:yes:1","nonvisual","is-it-a-bird","penguin","nomask","pic","penguin","yes","yes",890.052590752,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",1,"mouse:visual:yes:1","visual","does-it-have-a-tail","mouse","mask","prompt",NA,"yes","yes",160.038474714,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",2,"rabbit:visual:yes:3","visual","does-it-have-whiskers","rabbit","mask","prompt",NA,"yes","yes",93.8747748733,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",3,"swan:visual:no:4","visual","is-it-made-of-wood","swan","nomask","prompt",NA,"no","timeout",1500,0
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",4,"tiger:visual:yes:5","visual","does-it-have-large-teeth","tiger","mask","prompt",NA,"yes","yes",569.391478552,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",5,"banana:visual:yes:2","visual","is-it-long","banana","mask","prompt",NA,"yes","yes",402.043128619,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",6,"bottle:nonvisual:yes:3","nonvisual","is-it-a-container","bottle","nomask","prompt",NA,"yes","yes",334.600992734,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",0,"practice",7,"swan:visual:no:3","visual","does-it-have-four-legs","swan","mask","prompt",NA,"no","no",319.898979971,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",9,"elephant:visual:yes:3","visual","does-it-have-four-legs","elephant","mask","prompt",NA,"yes","yes",343.567649368,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",10,"zebra:visual:yes:1","visual","does-it-have-stripes","zebra","nomask","pic","zebra","yes","yes",293.846926885,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",11,"alligator:visual:yes:3","visual","does-it-have-scales","alligator","nomask","prompt",NA,"yes","yes",351.164004067,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",12,"penguin:nonvisual:yes:2","nonvisual","is-it-unable-to-fly","penguin","mask","prompt",NA,"yes","yes",313.642518129,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",13,"camel:visual:no:5","visual","does-it-have-green-leaves","camel","mask","prompt",NA,"no","no",291.160739027,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",14,"table:visual:no:3","visual","does-it-have-a-tail","table","mask","prompt",NA,"no","no",324.689753586,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",15,"giraffe:nonvisual:yes:3","nonvisual","does-it-live-in-zoos","giraffe","nomask","prompt",NA,"yes","yes",254.732357338,1
"MDT118",118,"2015_Nov_12_1527","LL-ELAINE",1,"test",16,"chair:nonvisual:yes:2","nonvisual","is-it-furniture","chair","nomask","prompt",NA,"yes","yes",241.029982688,1
